ORIGEM	ÁREA	CURSO	 CH - CURSO	 PREÇO CURSO - MATRÍCULA	MÓDULO UNIDADE CURRICULAR	CH - MÓDULO	 PREÇO MÓDULO - MATRÍCULA	CAPACIDADE DESENVOLVIDA - MÓDULO
CT 60x40	Eletrônica	Redes de Comunicação e Sistemas Supervisórios	  20 		Projeto de Sistemas Supervisórios	10	 R$  -   	● Identificar os dispositivos configuráveis conforme a necessidade do sistema eletrônico
CT 60x40	Eletrônica	Desenvolvimento de Interfaces de Softwares em Aplicativos	  20 		Metodologias de Desenvolvimento de Software	10	 R$  -   	• Aplicar metodologias ágeis de acompanhamento de projeto quanto aos prazos e entregas das etapas de desenvolvimento da interface de software • Estabelecer o tempo de execução das atividades de programação em bloco para elaboração do cronograma do serviço
CT 60x40	Eletrônica	Desenvolvimento de Interfaces de Softwares em Aplicativos	  20 		Autoempreeendedorismo	10	 R$  -   	• Aplicar metodologias ágeis de acompanhamento de projeto quanto aos prazos e entregas das etapas de desenvolvimento da interface de software • Estabelecer o tempo de execução das atividades de programação em bloco para elaboração do cronograma do serviço
CT 60x40	Modelagem do Vestuário	Gestão de Equipe de Trabalho	  76 		Gestão do Trabalho em Equipes	16	 R$  -   	● Utilizar os sistemas de registro de informações disponibilizados pela empresa, em conformidade com o tipo de registro a ser efetuado; ● Identificar nas normas regulamentadoras relativas à ergonomia, os requisitos aplicados aos postos de trabalho da linha de produção do vestuário para adequação dos mesmos a atividade desenvolvida, evitando esforços desnecessários; ● Interpretar as normas regulamentadoras relativas à ergonomia para orientação da equipe quanto ao cumprimento das mesmas no posto de trabalho; ● Utilizar técnicas de avaliação, sensibilização e liderança de equipes de trabalho em função dos aspectos da cultura organizacional da empresa; ● Identificar, por meio dos resultados das pesquisas de clima, ou resultados da produtividade, ou por reuniões com a equipe, fatores que podem afetar no clima organizacional; ● Utilizar as informações do balanceamento da produção para garantia de respeito ao limite de operações repetitivas em função da manutenção da produtividade dos colaboradores; ● Identificar quais são os indicadores de produtividade/eficiência estabelecidos para cada etapa de produção, parcial e final, do produto; ● Identificar, quando necessário e pelo uso de técnicas e tecnologias específicas, possíveis soluções para minimizar ou eliminar os desvios entre a produção planejada e a executada.
CT 60x40	Modelagem do Vestuário	Gestão de Equipe de Trabalho	  76 		Coordenação de Equipes e Postura Profissional	15	 R$  -   	● Proporcionar ambiente favorável e ou propício para participação da equipe com sugestões para melhoria contínua de processos e produtos. ● Identificar, na equipe, a pessoa com perfil adequado ao objetivo do treinamento em função de novos processos e ou novas tecnologias. ● Identificar, quando necessário e pelo uso de técnicas e tecnologias específicas, possíveis soluções para minimizar ou eliminar os desvios entre a produção planejada e a executada.
CT 60x40	Modelagem do Vestuário	Gestão de Equipe de Trabalho	  76 		Liderança e suas atribuições	15	 R$  -   	●  Aplicar técnicas de resolução de conflitos com membros da equipe em função da manutenção das boas relações interpessoais. ●  Proporcionar ambiente favorável e ou propício para participação da equipe com sugestões para melhoria contínua de processos e produtos.
CT 60x40	Modelagem do Vestuário	Gestão de Equipe de Trabalho	  76 		Avaliação de desempenho, treinamento e desenvolvimento de pessoas	15	 R$  -   	●  Utilizar os sistemas de registro de informações disponibilizados pela empresa, em conformidade com o tipo de registro a ser efetuado. ●  Utilizar técnicas de avaliação, sensibilização e liderança de equipes de trabalho em função dos aspectos da cultura organizacional da empresa. ●  Identificar, na equipe, a pessoa com perfil adequado ao objetivo do treinamento em função de novos processos e ou novas tecnologias. ●  Aplicar técnicas de treinamento em serviço, de acordo com os procedimentos da empresa, para capacitação de novos colaboradores.
CT 60x40	Modelagem do Vestuário	Gestão de Equipe de Trabalho	  76 		Ética e Diversidade no Trabalho	15	 R$  -   	● Utilizar os sistemas de registro de informações disponibilizados pela empresa, em conformidade com o tipo de registro a ser efetuado. ● Proporcionar ambiente favorável e ou propício para participação da equipe com sugestões para melhoria contínua de processos e produtos. ● Aplicar técnicas de resolução de conflitos com membros da equipe em função da manutenção das boas relações interpessoais.
CT 60x40	Modelagem do Vestuário	Qualidade Saúde Meio Ambiente e Segurança	  20 		Saúde e segurança no trabalho	10	 R$  -   	● Reconhecer tipos, características e utilização de EPIs aplicadas a cadeia produtiva do vestuário; ● Identificar nas normas técnicas e regulamentadoras os requisitos de saúde e segurança do trabalho e de sustentabilidade aplicados à cadeia produtiva do vestuário;
CT 60x40	Modelagem do Vestuário	Qualidade Saúde Meio Ambiente e Segurança	  20 		Meio Ambiente e Gestão da Qualidade	10	 R$  -   	● Reconhecer situações de risco à saúde, segurança e meio ambiente e as principais formas de proteção utilizadas na cadeia produtiva do vestuário.
